address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2743 Fairmount St,Los Angeles,CA,90033,900000,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2743-Fairmount-St-Los-Angeles-CA-90033/2093746984_zpid/
2541 Boulder St,Los Angeles,CA,90033,719000,NA,NA,NA,6,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2541-Boulder-St-Los-Angeles-CA-90033/20630206_zpid/
2015 Michigan Ave,Los Angeles,CA,90033,1500000,NA,NA,NA,30,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2015-Michigan-Ave-Los-Angeles-CA-90033/20632178_zpid/
2033 E 4th St,Los Angeles,CA,90033,1995000,NA,NA,NA,29,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2033-E-4th-St-Los-Angeles-CA-90033/2104753065_zpid/
2751 Boulder St,Los Angeles,CA,90033,600000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2751-Boulder-St-Los-Angeles-CA-90033/20630254_zpid/
2511 Folsom St,Los Angeles,CA,90033,739000,NA,NA,NA,21,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2511-Folsom-St-Los-Angeles-CA-90033/20630292_zpid/
541 N Cummings St,Los Angeles,CA,90033,849000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/541-N-Cummings-St-Los-Angeles-CA-90033/20629650_zpid/
Michigan Ave,Los Angeles,CA,90033,NA,NA,NA,NA,507,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124807601_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Fairmount St,Los Angeles,CA,90033,NA,NA,NA,NA,484,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/118450678_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
714 N Mott St,Los Angeles,CA,90033,NA,NA,NA,NA,2426,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/714-N-Mott-St-Los-Angeles-CA-90033/20630106_zpid/
N Mathews St,Los Angeles,CA,90033,NA,NA,NA,NA,445,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125407595_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1039 N Cummings St,Los Angeles,CA,90033,NA,NA,NA,NA,7240,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1039-N-Cummings-St-Los-Angeles-CA-90033/20635813_zpid/
S State St,Los Angeles,CA,90033,NA,NA,NA,NA,368,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/125766973_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
133 S Evergreen Ave,Los Angeles,CA,90033,NA,NA,NA,NA,157,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/133-S-Evergreen-Ave-Los-Angeles-CA-90033/20632164_zpid/
2808 Lanfranco St,Los Angeles,CA,90033,NA,NA,NA,NA,142,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2808-Lanfranco-St-Los-Angeles-CA-90033/20632898_zpid/
1345 Pleasant Ave,Los Angeles,CA,90033,NA,NA,NA,NA,411,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1345-Pleasant-Ave-Los-Angeles-CA-90033/20629027_zpid/
2727 E 4th St,Los Angeles,CA,90033,1300000,NA,NA,NA,50,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2727-E-4th-St-Los-Angeles-CA-90033/2111745552_zpid/
2410 Houston St # 2,Los Angeles,CA,90033,439900,NA,NA,NA,120,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2410-Houston-St-2-Los-Angeles-CA-90033/2095176394_zpid/
725 Judson St,Los Angeles,CA,90033,550000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/725-Judson-St-Los-Angeles-CA-90033/20628858_zpid/
1438 Murchison St,Los Angeles,CA,90033,675000,NA,NA,NA,67,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1438-Murchison-St-Los-Angeles-CA-90033/2124774008_zpid/
627 Echandia St,Los Angeles,CA,90033,750000,NA,NA,NA,42,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/627-Echandia-St-Los-Angeles-CA-90033/2094260607_zpid/
2410 Houston St,Los Angeles,CA,90033,439900,NA,NA,NA,136,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2410-Houston-St-Los-Angeles-CA-90033/20630166_zpid/
220 S Mathews St,Los Angeles,CA,90033,710126,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/220-S-Mathews-St-Los-Angeles-CA-90033/2094736150_zpid/
2925 Pennsylvania Ave,Los Angeles,CA,90033,529000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2925-Pennsylvania-Ave-Los-Angeles-CA-90033/20632139_zpid/
358 N Breed St,Los Angeles,CA,90033,789000,NA,NA,NA,73,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/358-N-Breed-St-Los-Angeles-CA-90033/20629335_zpid/
2410 Houston St # 1,Los Angeles,CA,90033,439900,NA,NA,NA,120,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2410-Houston-St-1-Los-Angeles-CA-90033/2095176393_zpid/
2746 Wabash Ave,Los Angeles,CA,90033,560000,NA,NA,NA,263,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2746-Wabash-Ave-Los-Angeles-CA-90033/20629991_zpid/
